Institution,GUID Prefixes
Abilene Christian University,"ACUNHC:Bird,ACUNHC:Ento,ACUNHC:Fish,ACUNHC:Herp,ACUNHC:Inv,ACUNHC:Mamm,ACUNHC:Paleo"
Academy of Natural Sciences of Drexel University,"ANSP:Host,ANSP:Para"
Alabama Museum of Natural History,"ALMNH:Bird,ALMNH:EH,ALMNH:Ento,ALMNH:Geo,ALMNH:Inv,ALMNH:Mamm,ALMNH:Paleo"
Angelo State Natural History Collections,"ASNHC:Bird,ASNHC:Herp,ASNHC:Mamm"
Arctos Consortium,Arctos:Entity
Arkansas Center for Biodiversity Collections,"ASUMZ:Bivalve,ASUMZ:Ento,ASUMZ:Fish,ASUMZ:Invert,ASUMZ:Mamm"
Austin Peay State University,"APSU:Bird,APSU:Fish,APSU:Herp,APSU:Mamm"
"Bell Museum, University of Minnesota","JFBM:Fish,MMNH:Bird,MMNH:Edu,MMNH:Mamm"
Bridgewater State University Natural History Collection,"BSUNH:Bird,BSUNH:Herp,BSUNH:Inv,BSUNH:Mamm"
Brigham Young University Life Science Museum,"BYU:Bird,BYU:Edu,BYU:Fish,BYU:Herp,BYU:Mamm,BYU:Teach,BYUObs:Herp"
Burke Museum of Natural History and Culture (UWBM),"UWBM:Herp,UWBM:Mamm,UWBM:PB,UWBM:PR,UWBM:VP"
Cal Poly Humboldt Vertebrate Museum,"HSUVM:Amph,HSUVM:Mamm"
California Desert Studies Center,"CDSC:Bird,CDSC:Mamm"
"California State University, Long Beach","CSULB:Bird,CSULB:Fish,CSULB:Herp,CSULB:Mamm"
Chicago Academy of Sciences (CHAS),"CHAS:AV,CHAS:Art,CHAS:Bird,CHAS:EH,CHAS:Egg,CHAS:Ento,CHAS:Fish,CHAS:Herb,CHAS:Herp,CHAS:Inv,CHAS:Mamm,CHAS:Teach"
College of the Atlantic,"COA:Bird,COA:Egg,COA:Ento,COA:Herp,COA:Mamm"
Denver Museum of Nature and Science (DMNS),"DMNS:Bird,DMNS:Egg,DMNS:Herp,DMNS:Inv,DMNS:Mamm,DMNS:Para"
Harold W. Manter Laboratory of Parasitology Collection (HWML),HWML:Para
Huron Mountain Club Museum,"HMCM:Arthro,HMCM:Bird,HMCM:Geo,HMCM:Herb,HMCM:Herp,HMCM:Mamm"
Institute of Meteoritics at University of New Mexico,UNM:MET
Jurica-Suchy Nature Museum at Benedictine University,"JSNM:Egg,JSNM:Herb,JSNM:Paleo"
Kansas State Biorepository,"KSB:Mamm,KSB:Teach"
"Kenai National Wildlife Refuge, Alaska (KNWR)","KNWR:Ento,KNWR:Env,KNWR:Herb,KNWR:Inv,KNWRObs:Bird,KNWRObs:Fish,KNWRObs:Herb,KNWRObs:Mamm"
Kenelm W. Philip Lepidoptera Collection (KWP),KWP:Ento
"Kenneth S. Norris Center for Natural History, University of California, Santa Cruz (UCSC)","UCSC:Bird,UCSC:Herp,UCSC:Mamm"
Lingnan University,LINGU:Herp
Mississippi Museum of Natural Science,MMNS:Mamm
Moore Laboratory of Zoology (MLZ),"MLZ:Bird,MLZ:Egg,MLZ:Fish,MLZ:Herb,MLZ:Mamm,MLZObs:Fish"
Museum of Southwestern Biology (MSB),"MSB:Arth,MSB:Bird,MSB:DGR,MSB:Fish,MSB:Herp,MSB:Host,MSB:Inv,MSB:Mamm,MSB:Para,MSBObs:Herp,MSBObs:Mamm"
